# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q93AT6|2.A.1.3.21	2.A.1.3.2	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|TC-DB|Q93AT6|2.A.1.3.21	22.946	1.11e-20	91.3	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1490967	1489927	transporter
gnl|TC-DB|O51919|2.A.1.3.24	2.A.1.3.24	deoxycholate	EX_cpd02733_e0	rxn43262	gnl|TC-DB|O51919|2.A.1.3.24	27.338	2.00e-18	85.5	79	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1210173	1211375	transporter
gnl|TC-DB|O35018|2.A.1.3.30	2.A.1.3.3	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|O35018|2.A.1.3.30	23.266	1.29e-17	82.4	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1491114	1489822	transporter
gnl|TC-DB|O35018|2.A.1.3.30	2.A.1.3.3	cysteine	EX_cpd00084_e0	rxn09690	gnl|TC-DB|O35018|2.A.1.3.30	23.266	1.29e-17	82.4	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1491114	1489822	transporter
gnl|TC-DB|O35018|2.A.1.3.30	2.A.1.3.3	deoxyuridine	EX_cpd00412_e0	rxn08376,rxn09685,rxn12418	gnl|TC-DB|O35018|2.A.1.3.30	23.266	1.29e-17	82.4	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1491114	1489822	transporter
gnl|TC-DB|O35018|2.A.1.3.30	2.A.1.3.3	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|O35018|2.A.1.3.30	23.266	1.29e-17	82.4	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1491114	1489822	transporter
gnl|TC-DB|O35018|2.A.1.3.30	2.A.1.3.3	sulfate	EX_cpd00048_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|TC-DB|O35018|2.A.1.3.30	23.266	1.29e-17	82.4	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1491114	1489822	transporter
gnl|TC-DB|O35018|2.A.1.3.30	2.A.1.3.3	uridine	EX_cpd00249_e0	rxn05199,rxn09371,rxn10895,rxn12460	gnl|TC-DB|O35018|2.A.1.3.30	23.266	1.29e-17	82.4	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1491114	1489822	transporter
gnl|TC-DB|Q5HE38|2.A.1.3.39	2.A.1.3.39	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q5HE38|2.A.1.3.39	21.602	1.73e-13	69.3	90	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1484359	1483142	transporter
gnl|TC-DB|Q5HE38|2.A.1.3.39	2.A.1.3.39	sulfate	EX_cpd00048_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|TC-DB|Q5HE38|2.A.1.3.39	21.602	1.73e-13	69.3	90	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1484359	1483142	transporter
gnl|TC-DB|P96712|2.A.1.3.50	2.A.1.3.50	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|P96712|2.A.1.3.50	23.077	2.98e-11	62.4	76	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1210206	1211384	transporter
gnl|TC-DB|Q180E3|2.A.1.3.72	2.A.1.3.72	riboflavin	EX_cpd00220_e0	rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|TC-DB|Q180E3|2.A.1.3.72	26.601	5.18e-34	132	89	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1484356	1483142	transporter
gnl|TC-DB|Q8NMG4|2.A.1.3.74	2.A.1.3.74	cadaverine	EX_cpd01155_e0	rxn27376	gnl|TC-DB|Q8NMG4|2.A.1.3.74	24.672	1.51e-11	63.2	87	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1210161	1211474	transporter
gnl|TC-DB|Q8NMG4|2.A.1.3.74	2.A.1.3.74	L-arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|TC-DB|Q8NMG4|2.A.1.3.74	24.672	1.51e-11	63.2	87	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1210161	1211474	transporter
gnl|TC-DB|Q8NMG4|2.A.1.3.74	2.A.1.3.74	L-lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|TC-DB|Q8NMG4|2.A.1.3.74	24.672	1.51e-11	63.2	87	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1210161	1211474	transporter
gnl|TC-DB|Q8NMG4|2.A.1.3.74	2.A.1.3.74	putrescine	EX_cpd00118_e0	rxn05687,rxn09215,rxn13392,rxn34402,rxn34528,rxn11263	gnl|TC-DB|Q8NMG4|2.A.1.3.74	24.672	1.51e-11	63.2	87	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1210161	1211474	transporter
gnl|TC-DB|Q8NMG4|2.A.1.3.74	2.A.1.3.74	spermidine	EX_cpd00264_e0	rxn05652,rxn09660,rxn29135,rxn34532,rxn34533,rxn11262	gnl|TC-DB|Q8NMG4|2.A.1.3.74	24.672	1.51e-11	63.2	87	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1210161	1211474	transporter
gnl|UniRef90|F9UST3|2.A.14.1.3	2.A.14.1.3	(R)-lactate	EX_cpd00221_e0	rxn08350,rxn09772,rxn10171,rxn12366	gnl|UniRef90|F9UST3|2.A.14.1.3	24.880	5.31e-08	49.3	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037415	transporter
gnl|UniRef90|F9UST3|2.A.14.1.3	2.A.14.1.3	(S)-lactate	EX_cpd00159_e0	rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|UniRef90|F9UST3|2.A.14.1.3	24.880	5.31e-08	49.3	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037415	transporter
gnl|TC-DB|ATN93525.1|2.A.19.4.15	2.A.19.4.15	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|ATN93525.1|2.A.19.4.15	25.330	8.66e-10	56.6	97	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989312	990238	transporter
gnl|TC-DB|P45394|2.A.19.5.1	2.A.19.5.1	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|P45394|2.A.19.5.1	35.430	2.46e-37	138	92	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989366	990235	transporter
gnl|TC-DB|Q0ZAI3|2.A.19.5.2	2.A.19.5.2	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|Q0ZAI3|2.A.19.5.2	42.424	5.06e-37	137	82	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989312	990079	transporter
gnl|TC-DB|Q0ZAI3|2.A.19.5.2	2.A.19.5.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q0ZAI3|2.A.19.5.2	42.424	5.06e-37	137	82	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989312	990079	transporter
gnl|TC-DB|Q57556|2.A.19.5.3	2.A.19.5.3	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|Q57556|2.A.19.5.3	35.484	1.76e-32	123	88	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989366	990187	transporter
gnl|TC-DB|Q57556|2.A.19.5.3	2.A.19.5.3	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q57556|2.A.19.5.3	35.484	1.76e-32	123	88	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989366	990187	transporter
gnl|TC-DB|Q8TPA6|2.A.19.5.4	2.A.19.5.4	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|Q8TPA6|2.A.19.5.4	32.229	4.02e-35	132	94	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989360	990232	transporter
gnl|TC-DB|Q8TPA6|2.A.19.5.4	2.A.19.5.4	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8TPA6|2.A.19.5.4	32.229	4.02e-35	132	94	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	989360	990232	transporter
gnl|TC-DB|P16256|2.A.21.1.1	2.A.21.1.1	pantothenate	EX_cpd00644_e0	rxn05308,rxn09165,rxn10180	gnl|TC-DB|P16256|2.A.21.1.1	25.541	3.18e-25	106	89	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369118	367760	transporter
gnl|TC-DB|P07117|2.A.21.2.1	2.A.21.2.1	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|P07117|2.A.21.2.1	26.087	5.89e-31	124	87	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369097	367730	transporter
gnl|TC-DB|Q9I5F5|2.A.21.2.3	2.A.21.2.3	L-proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|Q9I5F5|2.A.21.2.3	27.851	5.90e-38	145	86	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369097	367739	transporter
gnl|TC-DB|J7JIE8|2.A.21.2.4	2.A.21.2.4	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|J7JIE8|2.A.21.2.4	27.308	5.37e-33	129	98	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369070	367547	transporter
gnl|TC-DB|M1TZ79|2.A.21.2.5	2.A.21.2.5	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|M1TZ79|2.A.21.2.5	27.713	4.82e-31	124	95	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369085	367562	transporter
gnl|TC-DB|O24896|2.A.21.2.6	2.A.21.2.6	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|O24896|2.A.21.2.6	26.444	3.49e-29	118	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369094	367760	transporter
gnl|TC-DB|O24896|2.A.21.2.6	2.A.21.2.6	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|O24896|2.A.21.2.6	26.444	3.49e-29	118	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369094	367760	transporter
gnl|TC-DB|Q8PXA6|2.A.21.2.7	2.A.21.2.7	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|Q8PXA6|2.A.21.2.7	24.121	1.34e-21	94.4	86	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	368905	367739	transporter
gnl|TC-DB|Q8PXA6|2.A.21.2.7	2.A.21.2.7	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8PXA6|2.A.21.2.7	24.121	1.34e-21	94.4	86	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	368905	367739	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.19	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|Q8AAV7|2.A.21.3.19	22.851	4.83e-08	52.0	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369088	367745	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.19	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|Q8AAV7|2.A.21.3.19	22.851	4.83e-08	52.0	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369088	367745	transporter
gnl|TC-DB|P96169|2.A.21.3.2	2.A.21.3.2	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P96169|2.A.21.3.2	25.152	2.94e-11	62.4	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369130	367742	transporter
gnl|TC-DB|P96169|2.A.21.3.2	2.A.21.3.2	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P96169|2.A.21.3.2	25.152	2.94e-11	62.4	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369130	367742	transporter
gnl|TC-DB|P96169|2.A.21.3.2	2.A.21.3.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P96169|2.A.21.3.2	25.152	2.94e-11	62.4	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369130	367742	transporter
gnl|TC-DB|O50471|2.A.21.7.1	2.A.21.7.1	phenylacetate	EX_cpd00489_e0	rxn10559,rxn30233,rxn30234	gnl|TC-DB|O50471|2.A.21.7.1	22.149	5.80e-10	58.2	82	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369094	367772	transporter
gnl|TC-DB|D5AU53|2.A.21.7.4	2.A.21.7.4	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|TC-DB|D5AU53|2.A.21.7.4	23.026	3.96e-09	55.8	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369094	367781	transporter
gnl|TC-DB|D5APM1|2.A.21.7.5	2.A.21.7.5	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|TC-DB|D5APM1|2.A.21.7.5	21.133	4.63e-14	71.6	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	369094	367772	transporter
gnl|TC-DB|P23975|2.A.22.1.2	2.A.22.1.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P23975|2.A.22.1.2	26.969	1.11e-45	171	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	673890	672493	transporter
gnl|TC-DB|Q01959|2.A.22.1.3	2.A.22.1.3	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q01959|2.A.22.1.3	26.392	3.70e-41	157	78	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	673848	672514	transporter
gnl|TC-DB|Q03614|2.A.22.1.4	2.A.22.1.4	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|Q03614|2.A.22.1.4	27.721	3.36e-45	169	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	673848	672559	transporter
