	SRR6468503	SRR6468521	SRR6468522	SRR6468523	SRR6468525	SRR6468526	SRR6468527	SRR6468528	SRR6468534	SRR6468541	SRR6468542	SRR6468543	SRR6468544	SRR6468545	SRR6468546	SRR6468547	SRR6468548	SRR6468549	SRR6468550	SRR6468551	SRR6468552	SRR6468559	SRR6468560	SRR6468561	SRR6468563	SRR6468567	SRR6468568	SRR6468571	SRR6468572	SRR6468573	SRR6468574	SRR6468575	SRR6468577	SRR6468578	SRR6468579	SRR6468580	SRR6468581	SRR6468590	SRR6468591	SRR6468592	SRR6468595	SRR6468596	SRR6468597	SRR6468598	SRR6468599	SRR6468603	SRR6468604	SRR6468606	SRR6468607	SRR6468608	SRR6468609	SRR6468610	SRR6468612	SRR6468613	SRR6468614	SRR6468617	SRR6468618	SRR6468619	SRR6468620	SRR6468621	SRR6468622	SRR6468623	SRR6468626	SRR6468628	SRR6468629	SRR6468638	SRR6468639	SRR6468640	SRR6468641	SRR6468642	SRR6468643	SRR6468644	SRR6468645	SRR6468646	SRR6468647	SRR6468648	SRR6468649	SRR6468650	SRR6468653	SRR6468655	SRR6468656	SRR6468657	SRR6468660	SRR6468661	SRR6468665	SRR6468671	SRR6468672	SRR6468673	SRR6468674	SRR6468676	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468685	SRR6468686	SRR6468687	SRR6468689	SRR6468692	SRR6468694	SRR6468695	SRR6468700	SRR6468706	SRR6468709
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000000897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	19	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	17	23	0	0	0	0	0	0	0	0	13	0	56	0	10	10	0	17	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	36	0	0	0	39	0	0	0	0	18	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	234	0	0	0	0	11	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	74	0	0	32	515	109	0	60	46	208	219	38	223	145	145	291	33	45	0	0	0	86	29	25	0	30	51	0	0	0	26	0	0	330	64	0	42	1840	0	0	0	0	19	37	79	55	0	0	187	47	0	0	22	46	171	19	0	0	175	33	104	0	38	102	0	0	747	743	118	0	0	0	41	0	0	131	76	48	0	99	62	77	184	0	126	0	0	44	67	171	25	32	74	254	637	0	51	141	0	0	101	0	72	61
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__Methanomassiliicoccus_A_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000003962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp900767505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0	0	0	0	0	44	0	0	0	0	17	0	48	11	11	0	24	22	0	82	0	3862	0	0	0	1066	0	0	0	89	0	0	0	50	0	0	0	0	0	0	0	0	0	2510	37	0	0	0	0	0	0	12	0	0	0	0	0	0	228	0	0	20421	974	12	0	0	0	84	766	0	0	13	0	0	0	11	59	0	0	45	0	0	0	0	31	0	0	0	0	0	0	0	23	0	0	351	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	1175	349	189	430	988	538	124	122	1075	677	960	1798	2475	310	357	794	168	1393	1371	232	0	533	0	358	234	1400	457	391	5891	1188	0	238	772	2346	270	188	116	159	29307	41	33	695	42	270	553	0	269	274	225	3491	1472	101	2097	0	0	500	2930	0	729	351	226	933	388	689	0	263	0	0	231	1083	1178	0	402	458	1161	776	375	0	415	630	223	328	51	1869	7491	0	0	522	181	0	74	156	207	371	1348	111	557	173	593	0	218	218	207	369
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	969	1791	222	169	1996	1396	166	277	507	1083	220	1083	362	754	190	349	177	2334	1137	44	193	509	94	108	381	539	388	1901	1005	579	881	514	440	265	271	284	332	244	80736	57	19	1021	39	286	106	255	617	238	209	355	2034	182	1273	165	791	415	494	0	1164	121	443	1917	525	92	667	313	1777	156	374	133	1192	1418	263	480	2870	608	237	2766	552	667	118	280	53	1147	5705	18	34	68	440	234	166	88	334	477	602	325	388	363	1146	591	212	363	114	253
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp000220835	778	56	87	120	291	0	50	0	64	321	60	406	195	1110	15	254	155	426	1498	0	21	0	0	0	11	611	0	69	486	683	364	47	817	917	0	0	40	208	9099	0	0	32	27	107	10	149	53	14	19	19	17	71	60	0	513	36	95	0	603	0	0	0	291	30	0	0	653	15	175	43	176	1317	217	455	442	66	30	906	95	73	30	565	0	2323	100	0	25	0	0	32	35	117	125	570	0	124	56	27	0	23	30	0	0	21
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp900323545	56	37	96	22	127	154	0	0	22	110	34	136	196	100	0	71	25	234	202	0	71	109	0	33	76	534	47	41	96	176	29	31	61	243	52	42	19	43	3356	0	0	38	0	78	20	11	26	0	57	214	432	0	34	0	117	29	45	0	41	42	44	244	44	32	10	0	32	21	41	56	196	98	14	74	362	816	68	90	151	82	0	28	0	67	1044	0	0	111	22	0	0	10	15	151	88	10	0	19	36	15	12	18	81	54
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	15	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__Arcanobacterium_A_urinimassiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	14	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000000642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Flaviflexus|s__Flaviflexus_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_europaea_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	232	0	0	275	0	246	0	247	0	0	2459	729	1889	0	814	217	958	0	627	200	0	858	0	0	0	422	0	320	0	808	0	0	565	5043	0	0	0	0	0	0	0	78	0	497	571	726	97	0	51	1527	0	1293	148	0	632	94	0	0	246	0	0	1642	156	589	0	0	0	0	94	628	1985	3654	0	0	0	281	2775	0	59	1705	1984	0	0	0	4523	0	0	0	105	0	1398	1039	1817	0	540	727	0	55	0	281	0	0	123	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	164	102	0	32	1140	122	0	113	87	349	64	140	184	35	33	76	13	201	36	13	0	86	0	22	22	20	72	420	14	43	0	19	153	120	51	23	17	22	10813	0	0	128	79	354	28	2044	32	65	59	151	3321	15	933	26	314	60	209	0	111	34	63	285	41	11	0	113	0	177	37	83	296	38	0	95	101	478	63	37	1236	260	26	14	39	399	2381	0	0	31	271	18	40	31	43	265	1598	0	60	174	0	0	89	0	117	107
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	819	0	0	752	0	52	0	0	1722	1845	40	832	642	13	26	1093	37	135	11	18	113	122	0	0	0	12	1916	65	0	103	0	37	362	1160	20	533	26	26	11	0	0	570	36	92	63	0	109	20	211	17	759	0	1332	0	0	182	0	0	775	0	0	11	734	23	0	34	0	227	353	365	282	0	18	343	74	384	0	0	1131	85	116	17	0	0	1008	0	0	29	151	0	88	19	35	0	141	0	766	47	0	0	91	0	14	11
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	0	0	0	0	0	0	0	0	0	0	36	18	36	0	18	0	28	0	0	0	0	29	0	0	0	12	0	20	0	10	0	0	10	96	0	0	0	0	0	0	0	0	0	18	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	21	15	36	0	0	0	0	43	0	0	0	45	28	0	0	0	11	0	0	0	0	0	30	0	27	0	15	10	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_culturomici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_polynesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	11	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_radingae_A	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	867	0	59	386	439	1228	97	195	976	675	54	685	1446	17	406	607	38	457	1599	44	0	257	0	207	0	2645	1328	44	0	441	0	49	531	1053	622	294	21	0	50	10	0	42	188	403	593	115	157	319	146	2322	2565	59	1883	95	848	115	25	0	1606	406	1070	106	333	114	0	0	11	37	170	287	530	10	0	185	763	250	113	0	670	393	236	222	0	955	21597	0	0	257	58	18	198	136	182	0	5807	0	641	130	324	0	482	151	25	592
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	4395	3519	699	1672	3756	2144	483	2384	1960	1751	2468	4133	0	982	1166	2307	989	2341	4036	0	0	1468	315	0	1381	964	2614	5656	1423	633	264	344	1947	4816	1017	692	140	255	23888	0	0	1035	580	1978	1450	3235	1088	988	295	743	3130	283	7327	0	0	1812	13545	624	4536	936	476	11184	1597	0	274	7042	0	3613	933	294	3299	1431	0	1929	1923	2608	768	2074	3522	3356	2318	0	785	0	10767	0	0	0	688	1798	2823	1978	2670	1413	10939	1559	2310	838	1416	0	1254	0	1819	638
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	325	34	526	50	194	24	27	292	85	92	14	386	60	114	36	118	0	58	543	27	0	98	0	0	0	22	84	72	16	34	37	39	122	56	108	12	0	0	2352	0	0	14	23	47	37	28	11	36	12	26	401	0	151	0	80	62	860	101	64	72	12	835	82	0	0	33	0	46	89	57	73	47	284	72	228	60	11	581	41	66	15	0	0	182	294	0	0	0	30	171	39	14	0	27	850	99	698	39	77	0	30	234	347	15
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	137	36	0	54	181	124	19	35	85	241	19	76	42	39	61	197	17	208	88	0	0	30	0	0	37	260	79	201	338	96	0	0	71	29	0	97	56	10	414	11	0	118	0	40	64	26	22	52	49	135	541	30	705	10	0	16	97	0	347	78	0	134	105	43	0	69	0	0	78	41	118	0	0	17	102	209	0	14	201	69	34	44	33	403	596	0	0	30	118	59	51	39	15	28	180	15	50	27	59	0	103	0	26	16
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	509	42	0	66	150	170	16	70	111	106	964	1123	613	15	108	80	140	114	144	37	0	273	0	17	0	132	356	433	0	120	0	0	101	1287	19	31	0	42	294	0	0	40	12	137	159	182	157	42	33	213	358	0	289	0	178	123	277	10	175	125	41	1359	114	146	0	39	0	92	231	233	451	96	0	61	337	136	35	11	148	226	12	36	0	264	883	0	0	61	39	60	232	59	535	38	391	132	15	402	45	75	27	13	98	16
