	ERR2855786	ERR2855787	ERR2855788	ERR2855789	ERR2855790	ERR2855791	ERR2855792	ERR2855793	ERR2855796	ERR2855797	ERR2855798	ERR2855799	ERR2855801	ERR2855802	ERR2855803	ERR2855804	ERR2855805	ERR2855806	ERR2855807	ERR2855808	ERR2855809	ERR2855811	ERR2855812	ERR2855813	ERR2855816	ERR2855817	ERR2855818	ERR2855819	ERR2855821	ERR2855822	ERR2855823	ERR2855824	ERR2855825	ERR2855827	ERR2855829	ERR2855831	ERR2855832	ERR2855833	ERR2855834	ERR2855835	ERR2855836	ERR2855837	ERR2855838	ERR2855839	ERR2855840	ERR2855842	ERR2855843	ERR2855846	ERR2855847	ERR2855848	ERR2855849	ERR2855851	ERR2855853	ERR2855856	ERR2855857	ERR2855859	ERR2855860	ERR2855861	ERR2855862	ERR2855865	ERR2855866	ERR2855867	ERR2855868	ERR2855870	ERR2855871	ERR2855872	ERR2855874	ERR2855877	ERR2855878	ERR2855879	ERR2855881	ERR2855884	ERR2855885	ERR2855886	ERR2855887	ERR2855888	ERR2855889	ERR2855890	ERR2855891	ERR2855892	ERR2855893	ERR2855894	ERR2855896	ERR2855897	ERR2855901	ERR2855902	ERR2855903	ERR2855905	ERR2855906	ERR2855907	ERR2855908	ERR2855909	ERR2855910	ERR2855911	ERR2855912	ERR2855913	ERR2855914	ERR2855915	ERR2855916	ERR2855917	ERR2855919	ERR2855921	ERR2855923	ERR2855925	ERR2855927	ERR2855929	ERR2855931	ERR2855932	ERR2855933	ERR2855934	ERR2855935	ERR2855936	ERR2855938	ERR2855939	ERR2855940	ERR2855941	ERR2855942	ERR2855943	ERR2855944	ERR2855945	ERR2855946	ERR2855948	ERR2855949	ERR2855950	ERR2855951	ERR2855952	ERR2855953	ERR2855954	ERR2855955
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	0	0	0	0	33	0	0	0	0	0	0	0	0	69	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4522	0	0	0	0	0	0	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp900767505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	12	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	165	108	568	120	263	1635	407	0	0	216	562	123	204	138	610	220	115	0	336	857	0	100	371	1820	0	872	485	646	564	80	282	2198	56	49	397	534	0	0	130	479	145	0	215	0	290	335	135	450	255	457	806	603	59	289	1141	2367	204	263	118	98	0	0	222	95	226	233	134	294	107	724	1224	75	343	347	78	1009	0	1595	1196	1224	756	1031	133	137	0	794	306	276	346	354	226	0	2116	177	0	376	640	2467	329	551	0	463	361	334	474	82	210	0	221	1396	67	340	0	132	0	0	608	388	355	0	1159	76	124	196	114	775	116	267	122
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	71	37	572	29	112	40	74	0	47	0	0	138	94	35	221	37	133	327	31	127	0	77	165	969	0	37	418	591	0	20	140	1145	55	11	0	60	22	0	19	360	58	38	11	93	750	66	56	14	35	481	122	123	45	58	254	706	94	44	69	94	54	11	0	14	92	73	15	501	51	698	427	20	70	103	85	67	0	252	1664	22	92	687	160	45	32	554	46	189	26	114	44	37	460	87	58	491	121	341	74	114	90	400	221	47	288	54	220	19	61	549	17	25	149	88	0	0	29	198	515	0	34	0	14	61	16	30	15	603	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp000220835	11	0	60	27	18	0	101	0	39	0	0	60	28	0	11	0	136	81	0	312	14	19	0	171	0	0	22	53	0	19	0	225	15	0	0	145	0	0	0	0	0	0	10	0	22	0	0	0	0	650	11	19	42	93	10	24	13	0	0	21	0	0	0	0	13	0	12	41	0	534	0	0	79	0	67	0	0	0	12	72	22	287	51	0	0	590	0	12	41	0	0	10	66	13	0	19	59	0	16	25	0	22	0	0	80	0	54	0	0	292	0	15	185	52	0	0	0	19	24	0	32	0	0	0	0	19	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp900323545	0	13	24	0	32	0	32	0	0	0	0	0	0	0	64	0	0	0	0	12	0	0	0	179	0	0	12	22	0	0	32	154	0	0	0	0	0	0	21	31	16	0	0	17	17	0	0	0	0	105	0	18	11	0	0	469	0	0	0	0	0	0	0	0	19	19	0	26	18	74	111	0	12	0	0	0	0	14	55	0	16	13	17	0	0	25	0	18	13	46	0	0	77	10	32	35	0	27	0	24	14	18	43	16	10	10	10	0	0	0	10	0	0	0	0	14	27	16	26	0	0	0	0	10	0	17	0	92	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__Arcanobacterium_A_urinimassiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_europaea_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	0	0	0	0	599	0	0	0	0	251	654	0	469	0	0	0	0	239	0	0	0	0	713	1220	0	0	0	659	0	0	0	1119	0	0	480	0	1270	0	0	394	0	0	0	331	757	0	893	0	0	410	546	523	0	0	0	163	0	0	0	0	0	0	527	0	0	0	0	0	0	30	7808	0	0	0	0	871	0	0	0	1598	0	0	648	0	0	0	0	0	18	0	0	0	0	0	0	0	0	4770	2219	0	0	0	0	0	0	0	2335	335	323	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	0	0	98	0	30	31	11	0	35	0	12	0	0	0	26	12	0	0	10	130	10	0	16	25	26	12	0	0	0	13	0	63	12	20	0	0	0	0	0	304	0	17	0	0	43	20	0	12	33	40	481	26	0	0	17	69	0	0	0	26	0	0	0	0	14	10	0	11	17	58	123	0	0	0	52	12	0	0	40	0	25	16	53	0	0	25	0	18	0	0	12	0	10	17	10	10	25	60	29	33	0	36	0	0	97	0	0	13	18	21	0	0	0	39	0	0	57	11	23	0	120	12	0	0	0	0	0	0	19
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	0	0	12	0	0	0	0	0	0	0	11	0	0	0	14	0	0	0	21	415	13	0	119	65	0	52	10	0	14	42	0	56	78	0	0	238	0	0	0	20	20	13	0	17	68	533	19	86	27	159	16	0	0	10	20	25	0	14	27	0	0	0	14	0	10	18	0	0	136	11	58	0	10	12	36	215	0	36	0	10	259	0	0	11	0	20	10	31	19	11	0	0	23	10	0	0	42	79	50	48	0	0	0	0	74	0	16	0	0	455	0	0	0	15	0	0	238	301	0	0	0	0	0	0	10	10	16	95	13
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	19	0	78	0	59	16	0	0	71	0	0	0	12	0	15	0	15	0	0	58	0	0	11	0	0	10	0	0	17	0	65	20	0	0	0	25	21	0	0	21	38	0	0	0	57	12	27	0	0	17	15	45	0	14	21	268	0	0	0	15	12	0	26	0	13	0	28	0	0	34	11	0	12	20	12	13	0	0	20	11	14	58	0	0	0	41	0	13	0	13	13	0	12	12	0	0	0	96	0	0	0	0	129	20	16	0	46	0	0	0	0	0	0	0	0	0	0	35	0	0	55	0	0	0	0	13	0	0	12
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_polynesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	34	113	935	70	58	664	320	28	25	91	0	132	100	17	191	55	45	0	286	468	10	49	128	846	14	1452	52	297	232	12	63	2551	180	47	51	1563	0	31	140	25	11	91	156	30	26	155	72	1165	86	132	78	706	74	278	162	1087	14	290	12	51	0	0	91	34	23	50	716	36	40	45	131	103	292	59	162	85	40	85	1612	299	1068	49	51	27	13	278	17	69	59	395	25	0	603	105	22	104	214	32	147	98	0	124	230	39	742	25	119	0	28	278	54	225	16	307	0	0	535	252	113	0	749	45	27	0	15	260	148	53	10
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	0	0	798	0	0	10458	1248	0	234	0	0	437	939	675	0	924	69	1908	0	4231	499	251	1656	400	0	3185	333	1023	0	1161	0	2260	704	462	720	951	0	0	0	1115	0	0	0	0	5185	0	1109	880	1412	2219	0	0	815	0	1693	4583	986	0	284	250	0	0	1116	194	0	1525	1519	0	0	2368	7125	328	0	0	3223	0	0	744	2390	821	1008	2038	1057	0	0	2415	0	0	0	0	0	783	1725	313	0	274	0	0	0	0	0	0	1043	0	5009	0	2623	0	0	1040	91	0	0	673	0	0	0	2874	0	0	0	0	0	0	591	0	0	852	551
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	0	0	17	0	0	21	0	0	0	0	0	17	0	0	19	10	0	119	0	31	20	21	10	15	0	53	0	125	0	13	0	47	0	0	0	42	0	0	0	12	0	0	0	12	62	0	0	16	0	0	11	0	10	0	10	35	40	0	0	0	0	0	0	0	0	0	86	0	10	11	43	0	0	0	15	0	0	0	22	23	46	111	0	0	0	11	0	0	0	11	0	0	18	0	0	0	0	16	0	0	0	0	0	0	44	0	17	0	0	0	23	0	0	0	0	0	0	29	0	0	29	0	10	0	0	0	0	26	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	0	0	13	19	11	37	15	0	0	21	0	0	12	0	0	26	24	0	21	166	0	21	30	13	0	14	59	0	20	0	19	44	14	13	12	48	13	0	55	0	0	18	17	0	48	0	22	35	138	11	70	0	12	0	17	52	18	10	17	13	0	0	47	0	11	12	41	0	20	41	28	0	0	14	98	0	0	0	60	100	77	91	21	0	0	93	0	29	0	14	0	0	92	26	0	34	13	0	21	0	0	26	25	17	111	0	14	0	0	24	67	21	0	24	0	0	27	260	33	0	22	0	0	0	14	14	0	0	23
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	15	0	687	0	42	208	35	0	0	16	100	15	92	0	168	15	80	120	116	29	0	29	83	138	0	86	26	15	170	118	0	521	0	15	63	0	0	12	24	133	0	14	19	10	1481	19	24	21	406	140	102	0	12	27	42	75	172	29	19	62	33	0	24	0	0	63	13	0	14	50	2758	14	26	54	28	95	0	14	371	10	341	12	18	25	0	286	45	19	72	0	0	14	49	122	79	31	51	567	43	29	0	60	10	121	137	0	287	0	0	187	24	17	0	110	0	0	51	87	31	11	169	15	0	0	32	0	12	50	22
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001838165	0	0	30	0	0	14	40	0	0	0	0	0	0	0	22	0	0	0	13	32	0	25	31	17	0	0	362	0	0	15	0	30	0	0	0	0	0	0	0	15	0	0	0	0	57	0	39	0	22	66	48	0	0	0	16	27	0	0	0	77	0	0	0	0	0	15	0	0	64	34	39	0	0	0	13	31	0	0	21	0	20	228	10	0	0	63	0	0	0	0	0	17	37	10	0	0	0	13	0	0	0	13	0	12	44	0	0	0	0	0	12	0	0	0	0	0	10	63	15	0	27	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900541895	0	0	1263	0	0	291	156	161	82	0	0	0	0	66	0	75	0	0	0	457	0	498	166	534	0	302	97	71	0	0	0	346	93	200	0	339	0	0	0	390	0	0	0	0	324	0	502	121	214	279	0	245	89	0	208	1279	0	0	0	0	0	0	89	0	0	228	242	0	0	312	216	235	0	0	379	342	0	0	301	88	152	222	0	0	0	740	0	0	0	152	0	58	253	172	0	113	169	1322	0	0	0	0	141	0	560	0	69	0	0	294	80	0	0	0	0	0	0	675	0	0	0	0	0	0	52	0	0	90	72
