	DRR127476	DRR127478	DRR127485	DRR127488	DRR127491	DRR127507	DRR127514	DRR127517	DRR127519	DRR127521	DRR127524	DRR127532	DRR127535	DRR127536	DRR127537	DRR127546	DRR127552	DRR127557	DRR127559	DRR127567	DRR127579	DRR127583	DRR127588	DRR127594	DRR127596	DRR127597	DRR127603	DRR127613	DRR127617	DRR127625	DRR127634	DRR127646	DRR127647	DRR127649	DRR127666	DRR127669	DRR127672	DRR127685	DRR127704	DRR127707	DRR127718	DRR127720	DRR127724	DRR127728	DRR127731	DRR127736	DRR127737	DRR127748	DRR127751	DRR127752	DRR127774	DRR162775	DRR162776	DRR162777
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_radingae_A	84	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	14	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	441	1135	44	115	520	0	2464	478	500	145	141	3356	0	783	106	405	166	17	0	3342	80	313	108	0	0	39	244	10	68	141	440	0	1266	33	167	4721	48	44	159	10474	0	42	547	570	238	162	0	253	2685	462	281	195	1048	204
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	11008	2911	1490	1906	563	1483	27887	312	4295	3420	2793	8666	545	7783	5862	1039	1207	455	415	11476	54018	0	0	3909	17085	575	762	1023	1032	0	2423	532	4122	616	1316	6098	497	28988	1273	4164	76	748	1584	4963	3457	0	6002	4548	20131	1294	1327	0	988	2821
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	194	24	95	289	39	31	455	15	464	32	765	167	0	161	32	30	13	0	26	223	36	0	0	307	408	0	24	25	44	37	32	12	87	0	82	130	36	10486	27	120	0	53	90	86	81	11	586	49	252	37	28	12	63	71
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	2230	98	118	164	93	63	1250	148	181	124	250	112	13	233	184	192	93	93	11	619	0	132	110	19	261	0	111	26	106	44	201	0	679	117	41	286	23	169	59	842	0	90	112	582	514	18	51	338	1065	54	116	98	126	176
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	3204	22	47	240	64	32	1585	41	366	237	64	632	107	269	1708	61	0	30	0	815	1021	16	87	62	128	0	33	17	40	0	254	44	414	55	13	447	26	304	26	496	0	19	34	486	589	157	0	209	1611	63	29	30	30	292
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001838165	98	43	33	34	25	83	446	18	74	36	31	229	29	699	64	64	0	14	0	243	24	0	0	738	195	48	51	0	92	0	21	0	123	0	0	106	36	405	55	160	0	64	20	133	295	0	11	127	133	15	46	10	12	44
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900541895	1096	458	237	242	0	373	2537	51	898	157	305	454	125	783	172	309	45	0	0	1434	256	0	0	386	2922	0	0	133	0	0	343	0	982	0	120	723	174	4134	153	573	0	96	181	1345	422	0	1000	334	1376	176	0	0	0	211
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900554605	2078	611	406	231	1044	1314	11076	1246	1835	316	433	6616	0	858	2442	255	72	217	0	6829	0	726	0	0	948	0	523	0	446	960	1025	0	5577	0	0	1735	255	1339	350	8199	0	228	0	2327	799	0	103	671	2496	312	458	1314	1137	1439
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900556405	183	20	85	40	17	26	49	0	478	0	50	50	0	56	26	0	0	0	0	105	0	0	0	158	394	0	0	20	41	37	22	0	30	0	74	18	45	777	22	25	0	45	19	42	53	0	29	0	302	26	13	0	47	46
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373435	76	21	17	22	0	0	283	0	31	18	0	136	0	95	27	16	0	0	0	119	14	0	0	0	70	0	0	0	0	0	0	0	117	0	0	22	0	110	0	64	0	12	0	116	23	0	52	11	75	10	18	0	0	13
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373545	693	1157	20	72	365	449	27345	74	1307	905	127	4209	168	1630	2191	125	138	64	0	9918	479	32	41	0	46	0	559	0	149	59	498	0	3817	87	23	235	23	113	95	3655	0	0	172	295	616	41	0	3102	1482	274	1307	691	162	646
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_turicensis	0	41	0	0	0	0	0	0	0	0	17	0	0	0	30	0	0	0	0	0	0	0	0	0	0	1502	0	0	1573	181	0	0	0	36	0	26	0	0	0	13	0	1727	0	0	74	0	0	0	48	484	12	13	0	93
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__MGYG000003810	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense_A	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	43	27	0	0	0	0	0	0	0	23	0	0	0	12	0	27	0	0	0	0	146	0	0	0	56	31	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_timonense	0	0	199	0	0	0	0	33	0	0	0	0	0	13	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Winkia|s__Winkia_sp002849225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	58	0	40	0	177	0	64	20	12	40	0	0	41	439	205	22	53	0	13	0	153	34	0	50	21	0	0	0	14	0	16	44	32	16	62	26	174	7763	0	11	0	140	0	16	172	75	0	72	854	64	0	0	13	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	9657	74	46788	15345	35835	0	44543	5381	29	10277	1820	24	190522	47	28305	128	443	293	66668	11	170	0	47534	58513	3111	18491	20154	563	4834	44722	359432	233787	115	63843	8534	48	0	45546	0	19220	11	169	132	271	243399	118	30692	1316355	3232	2903	29	12878	212414	3975
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	51	15	315	134	236	0	107	31	0	34	20	0	684	99	2264	0	160	0	370	0	962	0	140	161	40	30	36	0	15	105	657	731	68	516	16	0	0	70	16	189	0	80	0	27	1015	0	86	965	5236	21	0	13	266	868
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0	0	0	0	0	0	0	84	0	0	0	0	0	0	63	0	0	0	0	0	0	2148	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2020	0	0	0	236	0	0	0	0	0	0	0	304332	17	0	0	0	8420
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	133	197	55318	108	8965	0	37863	118	52	383	25	111	1740	1445	579458	88	1070	14	0	0	2358	0	754	67561	494	0	30	30	6655	69	2458	492	1170	292	20	254	0	465	27	55638	0	50	46	107	426778	1197	13575	1943	2379558	79	18	19635	534	26920
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	2068	1022	1725	63	1230	69	3497	1227	1219	14349	0	0	3938	11199	323192	0	6057	205	66	134	500465	0	2429	2231	1489	188	127	185	382	1124	8684	3578	18930	2647	369	2673	0	1122	1155	1028	0	135	24	6043	71524	9298	288	8348	81493	606	256	914	676	7735
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	156	19	411	740	1833	0	285	992	35	239	0	107	4112	487	16711	0	2457	45	529	0	2100	0	670	293	12545	90	205	207	74	179	1900	1367	2492	657	226	610	0	11704	0	751	0	372	16	140	6364	752	354	11306	35943	16	13	105	653	24942
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	412	165	7254	10333	57	0	5344	18186	1315	55	1605	0	208	17	11088	16	258	0	51	424	25873	0	2516	320	830759	22	0	14608	19	17	65	201	0	160	10287	207	0	853847	643	55	0	4393	114	10232	6872	13	5534	282	46886	53	0	0	19	2806
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallicum	23	0	0	14	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum	12	0	37	11	0	0	0	0	0	21	0	0	21	41	153	0	13	0	0	0	32	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	22	31	15	0	46	230	0	0	0	0	180
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_globosum	0	0	0	0	0	0	0	0	0	0	0	0	0	37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_infantis	19998	15046	19996	566	14838	467	40140	11983	5300	76686	52	35	43564	96585	760148	24	51802	3173	805	29	280918	0	33683	23561	17628	2492	1524	3633	6110	12756	96229	39496	762	40901	4134	31980	0	3825	12915	8884	0	1929	277	61034	141836	108459	586	110069	925800	11032	2127	4509	6827	57286
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_italicum	56	70	198	0	60	0	311	57	20	406	0	0	254	384	3660	0	360	17	0	0	1113	0	214	54	91	17	0	36	36	47	767	377	0	98	18	115	0	14	73	36	0	0	0	202	591	745	0	455	4039	29	15	44	46	289
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	4623	63	496	17948	113250	88	337	50594	63	483	24	5604	109095	363	846197	58	101816	2837	553	0	1493	0	46551	603	3816	1804	5692	53	63	680	1976	3516	259978	7925	50	37997	0	381	31	50836	0	31939	325	169	241275	245	2742	315531	2692438	215	18	1887	1150	509756
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum	16	52	69	0	69	0	320	33	46	194	0	0	131	227	1539	0	124	0	0	0	620	0	0	153	55	0	11	11	31	218	354	532	0	58	17	95	0	11	0	58	0	0	0	91	648	231	0	1719	2827	37	0	23	251	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_ruminantium	808	0	2429	1034	4157	0	3905	419	10	375	140	0	16925	29	8327	0	368	32	4549	0	2060	0	2026	3763	60	942	1503	28	338	3190	18380	23046	71	4032	320	153	0	2869	0	1866	0	558	0	22	19052	0	2399	67666	43538	214	0	931	11581	2191
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_scardovii	110	51	133	0	165	0	310	115	42	1270	0	0	361	375	9683	0	128	0	0	0	3318	0	436	39	44	16	0	0	52	21	543	446	83	393	41	83	0	13	25	54	0	0	0	643	3035	906	0	817	7709	118	0	41	56	1427
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp002742445	207	0	284	480	2430	0	188	724	0	124	0	58	4490	95	18473	0	3005	87	325	0	1520	0	980	235	287	47	131	0	29	130	232	13681	2720	304	36	742	0	67	0	983	0	611	15	52	4412	37	161	6880	60162	27	0	153	1504	86319
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp002884815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp900551485	0	0	88	0	0	0	0	29	0	26	10	0	28	18	169	26	34	0	0	0	14	44	0	0	0	0	10	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	86	30	0	13	42	0	10	37	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	438	26	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_vaginale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_vaginale_E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	25	0	0	0	0	0	13	0	0	0	47	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_vaginale_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_vaginale_G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16653	0	0	0	0	0	0	822	0	0	0
