	ERR1018185	ERR1018186	ERR1018187	ERR1018188	ERR1018189	ERR1018190	ERR1018191	ERR1018192	ERR1018193	ERR1018194	ERR1018195	ERR1018196	ERR1018197	ERR1018198	ERR1018199	ERR1018200	ERR1018201	ERR1018202	ERR1018203	ERR1018204	ERR1018205	ERR1018206	ERR1018207	ERR1018208	ERR1018209	ERR1018210	ERR1018211	ERR1018212	ERR1018213	ERR1018214	ERR1018215	ERR1018216	ERR1018217	ERR1018218	ERR1018219	ERR1018220	ERR1018221	ERR1018222	ERR1018223	ERR1018224	ERR1018225	ERR1018226	ERR1018227	ERR1018228	ERR1018229	ERR1018230	ERR1018231	ERR1018232	ERR1018233	ERR1018234	ERR1018235	ERR1018236	ERR1018237	ERR1018238	ERR1018239	ERR1018240	ERR1018241	ERR1018242	ERR1018243	ERR1018244	ERR1018245	ERR1018246	ERR1018247	ERR1018248	ERR1018249	ERR1018250	ERR1018251	ERR1018252	ERR1018253	ERR1018254	ERR1018255	ERR1018256	ERR1018257	ERR1018258	ERR1018259	ERR1018260	ERR1018261	ERR1018262	ERR1018263	ERR1018264	ERR1018265	ERR1018266	ERR1018267	ERR1018268	ERR1018269	ERR1018270	ERR1018271	ERR1018272	ERR1018273	ERR1018274	ERR1018275	ERR1018276	ERR1018277	ERR1018278	ERR1018279	ERR1018280	ERR1018281	ERR1018282	ERR1018283	ERR1018284	ERR1018285	ERR1018286	ERR1018287	ERR1018288	ERR1018289	ERR1018290	ERR1018291	ERR1018292	ERR1018293	ERR1018294	ERR1018295	ERR1018296	ERR1018297	ERR1018298	ERR1018299	ERR1018300	ERR1018301	ERR1018302	ERR1018303	ERR1018304	ERR1018305	ERR1018306	ERR1018307	ERR1018308	ERR1018309	ERR1018310	ERR1018311	ERR1018312
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	0	0	1415	0	71	0	21	0	0	0	0	740	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	20	0	143	0	41	0	51	0	125	0	0	0	0	0	0	0	0	0	25	117	0	0	23	0	3683	0	0	0	0	74	0	0	0	22	0	0	23	73	0	0	0	0	0	0	0	0	51	0	1060	0	79	0	0	0	0	0	0	0	0	0	97	0	0	0	513	36	0	0	0	42	28	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	55	0	0	16	0	91	0	230	0	102	147	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__ISO4-G1|s__MGYG000003531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000003962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	25	0	0	22	0	0	41	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	187	0	378	1523	855	0	815	0	0	0	213	82	258	1750	265	3365	50	0	207	0	152	2300	48	254	140	0	1485	621	7704	163	6672	463	565	29	1735	116	1296	293	471	823	55	353	0	477	3370	464	177	69	197	774	141	166	650	1287	0	0	0	532	870	595	0	100	34	113	0	400	66	428	3893	1722	108	203	368	0	81	163	299	162	846	162	0	613	232	261	301	233	155	127	31	28	78	0	182	185	1874	526	1950	438	719	540	0	225	185	182	214	86	71	126	516	352	0	0	137	324	0	39	199	180	116	203	84	175	291	0	1464	0	101	6284
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	309	59	367	217	80	13	187	37	0	40	21	138	19	221	117	301	19	0	352	43	70	47	70	21	29	0	77	89	1047	0	135	524	169	15	77	56	58	39	67	81	52	329	29	226	155	30	90	20	65	186	117	27	33	248	110	48	127	152	134	69	41	23	22	257	15	44	0	64	41	208	57	129	117	113	20	0	311	81	751	341	0	54	34	42	14	13	26	0	14	0	39	0	66	0	30	284	108	524	1157	885	72	79	163	80	31	41	57	40	680	561	32	0	0	38	66	34	20	16	73	91	93	14	123	161	710	15	43	317
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp000220835	84	0	1119	105	21	0	0	73	0	124	42	10	39	105	116	49	19	15	83	0	30	17	0	0	185	0	17	64	8456	0	77	0	117	0	61	0	0	0	0	114	10	12	0	78	41	0	19	0	16	249	384	0	22	0	0	0	15	178	84	18	0	19	0	0	0	46	0	0	0	34	84	169	72	0	0	11	0	30	0	31	0	0	12	0	0	28	0	0	0	0	13	0	378	0	0	47	76	16	420	1715	10	21	0	80	0	24	35	0	15	399	28	0	0	11	0	173	0	0	16	32	0	0	0	13	325	0	0	23
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp900323545	17	13	53	30	0	0	12	0	0	0	0	0	0	60	0	587	0	0	0	32	0	0	0	35	15	0	11	0	432	0	13	25	46	0	58	27	0	21	0	11	0	23	0	26	18	0	10	0	17	21	0	0	0	0	22	0	64	17	11	12	0	0	0	18	0	0	0	17	0	39	0	0	17	13	0	0	29	0	20	53	0	0	0	0	21	0	0	0	0	0	0	0	133	0	12	0	11	0	177	13	36	12	0	13	0	0	0	0	21	75	0	0	0	13	25	0	0	0	0	12	0	0	156	0	36	0	16	101
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__Arcanobacterium_A_urinimassiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000000642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_europaea_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	452	0	3492	416	809	0	0	0	0	0	1480	0	0	342	0	368	0	0	103	0	2183	2037	0	0	239	0	1179	555	356	0	0	1590	1094	0	0	0	0	0	0	0	0	0	0	496	351	488	0	0	481	129	0	0	98	734	1170	0	0	0	833	0	0	424	0	0	0	369	0	412	3624	1451	0	351	334	685	0	0	1091	0	680	531	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	1168	0	0	380	438	0	0	631	0	0	0	179	0	2799	553	0	0	0	0	0	0	0	0	0	0	702	0	84	0	223	0	0	2166
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	29	0	67	47	13	0	398	86	0	26	29	147	0	101	0	65	0	0	20	19	31	22	10	103	27	12	61	12	1372	0	47	19	716	0	67	0	48	0	23	92	21	52	0	37	184	13	18	13	59	83	0	0	12	79	17	18	0	0	16	11	0	10	12	58	0	0	10	19	33	57	15	18	27	11	0	0	28	16	0	203	0	36	17	0	0	0	17	59	15	0	0	0	151	0	27	28	23	59	27	45	13	10	0	19	0	0	0	0	258	25	19	0	0	44	0	0	0	0	11	0	47	0	184	0	303	0	30	132
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	12	25	0	966	27	0	14	0	0	0	25	0	188	17	15	23	34	15	88	22	441	35	88	319	494	205	81	19	38476	0	2164	191	99	0	1711	0	24	0	0	382	17	0	11	27	569	0	0	50	2583	9152	0	12	0	88	0	0	0	0	0	0	0	0	0	0	0	0	40	26	10	80	20	0	147	0	0	0	69	252	0	0	0	53	0	0	0	0	271	0	12	0	0	0	115	0	2727	15	62	27	0	42	20	25	17	24	0	0	0	0	212	64	0	10	21	686	0	0	50	136	13	21	1206	0	28	0	38	0	313	131
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	8278	288	5198	0	0	0	0	0	0	0	0	23	16	377	11	1701	0	14	11	0	71	32	19	11	15	0	25	46	112	0	0	0	34	0	0	0	0	22	26	37	0	0	10	39	105	18	162	15	11	17	10	0	11	74	61	0	0	80	28	0	0	0	0	12	0	10	0	0	49	38	0	0	20	0	14	0	16	0	31	0	0	20	0	0	0	0	0	0	28	0	0	0	0	0	0	48	0	0	0	0	0	10	27	26	0	0	72	10	55	15	0	496	0	31	0	0	0	0	11	0	0	0	96	0	28	0	0	45
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_culturomici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_polynesiensis	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_radingae_A	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	13	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	636	25	2502	273	356	50	17	332	22	224	317	60	56	7294	86	1085	63	58	252	0	212	1417	127	295	90	43	176	777	1943	61	934	297	418	0	580	50	258	35	39	2765	28	167	0	232	1147	43	34	172	1348	1483	90	26	294	3739	103	0	19	191	267	276	0	40	21	100	17	416	92	294	82	188	89	384	128	27	24	33	695	183	118	43	0	140	14	0	123	398	116	44	42	17	23	0	129	0	112	104	259	30	742	346	0	411	97	26	309	120	25	53	174	364	13	38	99	148	10	0	81	65	105	126	325	257	544	62	776	0	199	4834
