	ERR2726405	ERR2726406	ERR2726407	ERR2726408	ERR2726409	ERR2726410	ERR2726415	ERR2726419	ERR2726420	ERR2726421	ERR2726422	ERR2726423	ERR2726427	ERR2726428	ERR2726432	ERR2726433	ERR2726434	ERR2726435	ERR2726436	ERR2726437	ERR2726443	ERR2726444	ERR2726446	ERR2726448	ERR2726453	ERR2726463	ERR2726476	ERR2726480	ERR2726484	ERR2726488	ERR2726489	ERR2726494	ERR2726501	ERR2726503	ERR2726507	ERR2726513	ERR2726522	ERR2726527
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_europaea_A	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	11	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	281	0	644	376	0	0	81	576	0	100	0	0	606	0	214	0	76	0	0	0	0	188	0	784	107	0	300	94	2169	0	710	122	0	128	112	0	330	228
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	396	93	97	345	0	332	16	101	52	17	42	87	716	14	24	111	0	33	15	33	0	72	55	883	0	13	30	98	0	16	0	0	142	132	1412	0	14	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	15	36	376	283	58	32	124	27	19	64	573	20	0	0	582	711	11	587	0	0	12	69	45	0	0	0	25	26	0	0	44	0	123	149	254	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	17	18	22	17	0	0	0	0	0	0	0	0	0	0	96	47	0	0	0	0	0	0	0	20	0	0	65	0	14	0	0	162	509	0	248	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_culturomici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_polynesiensis	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_radingae_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	0	119	701	265	473	0	11	80	238	234	81	382	24	13	291	871	77	148	213	83	150	94	19	235	71	111	803	57	97	37	0	0	569	46	404	0	14	145
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	2434	0	1464	1835	1387	5488	0	954	589	514	1146	886	0	419	959	0	361	666	0	1075	0	0	665	3104	853	1128	572	453	1278	0	0	696	2337	291	0	0	685	796
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	95	32	38	18	40	63	33	0	17	16	0	32	0	0	38	13	53	10	0	286	0	0	0	44	90	18	10	0	13	0	0	110	176	0	31	0	12	42
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	349	241	409	108	192	138	0	94	17	185	94	156	17	17	85	38	15	174	47	62	52	44	34	291	0	165	64	21	89	0	26	0	75	49	86	0	36	35
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	97	57	267	114	26	28	16	51	21	15	70	20	140	19	47	76	0	58	22	57	0	32	33	368	62	329	60	15	196	10	31	25	46	44	90	12	24	37
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001838165	17	103	105	29	53	209	0	10	0	14	15	34	39	0	0	14	0	20	0	20	0	0	11	60	64	288	17	11	94	0	0	40	297	14	98	0	0	14
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900541895	247	0	323	0	212	1082	0	0	0	0	101	131	0	0	102	0	0	0	0	217	0	0	156	298	110	169	0	54	89	0	0	0	440	0	0	0	0	112
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900554605	749	2245	1445	0	203	433	0	0	0	592	346	503	987	0	366	1702	0	1133	0	0	0	0	0	673	0	283	1220	225	99	0	0	0	256	237	3339	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900556405	135	0	0	0	30	16	24	0	0	20	0	30	0	0	41	0	31	0	11	27	0	0	0	14	70	11	0	0	0	0	0	129	208	0	13	0	11	41
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373435	36	14	16	15	10	30	0	0	0	22	0	0	0	0	0	10	0	0	0	15	0	0	0	18	0	13	0	0	0	0	0	0	11	0	14	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373545	871	214	131	36	28	14	12	110	49	370	171	301	51	10	193	103	0	274	109	47	46	49	173	241	0	332	375	75	0	0	0	0	129	126	578	0	50	15
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_turicensis	0	0	0	99	0	0	972	65	0	87	0	0	0	0	0	0	183	13	0	40	0	0	0	43	0	0	0	108	0	0	598	112	52	0	0	0	148	36
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__MGYG000000336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__MGYG000003810	0	0	0	106	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1519	0	27	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense_A	0	0	0	40	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	31170	0	63	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	25	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_timonense	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	775	0	0	476	0	0	0	0	0	622	0	6146	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Winkia|s__Winkia_sp002849225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	79	0	76	85	21	0	493	23	35	21	0	0	54	0	17	30	23	0	0	102	0	0	0	266	40	529	50	16	0	0	12	13	112	0	52	0	0	20
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	234709	11875	402	12790	3453	36	1762	23103	0	158	23680	1822	6741	32186	87406	52	2349	6032	67870	19903	0	69750	3609	72	24	0	137620	47255	63	71655	35889	12	22341	13	46436	174	213752	145106
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	73105	65	474	57	0	0	11	186	0	16	29	0	82	212	411	0	12	13	211	137	0	130	25	176	12	0	796	270	83	543	124	0	22	22	170	225	843	374
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	10	0	0	0	0	0	4815	0	0	0	0	0	21	0	0	0	71	0	0	0	1747	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	2186	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	1174	11	50792	214	38	0	12	323	0	20	2453	12	111	37	10181	0	129	45	24507	102	0	565	0	111	18	0	31397	119	585	78	135	19	3983	9858	106	30	49901	3933
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	1967	28107	4938	1766	487	0	76	1475	10	537	224	113	5426	814	583	284	29	13	814	116	0	1104	60	11767	1348	0	1233	954	5048	422	1281	732	174	1074	144	6631	1908	1346
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	1034	138	4986	15017	81	0	4507	237	0	21	645	70	306	2464	40131	28	89	268	15729	871	0	927	371	20432	140	0	4288	1178	861	700	10780	42	181	641	418	18966	662	2081
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	1045	2758	37	453	12	0	0	0	255	116	27	8810	0	17	3122	669	532	0	68	416	18	17	0	4730	36	855	31	34	240	321	59	44	553	50	10127	4433	7487	349
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallicum	0	0	0	0	0	0	0	0	0	0	0	182	244	0	0	0	0	0	0	0	0	0	13	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum	0	0	229	0	0	0	0	0	0	0	0	1041	0	34	0	0	0	0	0	0	0	0	0	34	0	0	0	0	13	0	0	0	0	0	0	0	0	129
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_globosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_infantis	51870	2348	76021	24716	5446	0	1054	26564	114	7526	2973	1400	72770	8595	10720	4244	273	196	13766	1812	0	16530	1028	137360	19513	0	26927	10496	69073	5614	21065	9592	2194	16154	3073	12992	12365	19940
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_italicum	409	25	640	190	37	0	25	296	0	48	12	0	488	46	74	47	0	0	151	39	0	73	15	531	93	0	238	113	544	28	132	122	11	124	33	42	41	98
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	924	142	141768	2308	33	0	73	83	0	12	673	11	145	32280	1310	0	97	110	3422	21548	0	1269	16	3742	34	0	5686	2887	21743	2511	447	17	72	15208	198	44995	1220	1996
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum	395	38	204	113	0	0	11	70	0	15	26	88	151	21	196	17	0	0	31	0	0	28	14	411	64	0	81	13	179	31	84	24	0	38	63	25	359	74
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_ruminantium	7516	802	2586	1083	180	0	141	977	0	44	1333	86	328	1650	4395	0	66	292	3348	2004	0	3812	237	0	0	0	5503	3141	141	4475	2949	0	1235	236	1915	734	11978	8347
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_scardovii	956	215	747	71	56	0	0	260	0	16	42	0	825	73	79	38	14	0	136	178	0	29	0	1038	225	0	204	70	1156	121	213	104	20	357	20	68	48	235
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp002742445	2838	129	4144	565	24	0	173	340	0	0	2289	0	63	1060	1962	0	0	25	1109	868	0	435	58	516	13	0	1795	632	399	251	661	22	284	271	301	941	2307	1704
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp002884815	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp900551485	12	0	33	13	0	0	0	15	0	0	22	0	13	0	0	0	0	16	30	0	0	0	0	0	0	0	25	13	10	11	0	0	0	0	0	26	0	119
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermophilum	115	0	0	20	0	0	0	0	0	0	0	0	0	0	103	0	0	0	38	0	0	65	0	0	0	0	0	56	0	0	0	0	0	0	0	0	443	47
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_vaginale	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_vaginale_E	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	0	0	0	17	0	0	0	0	0	24	0	0	0	0	29	0	0	0	0	95	0	0	0	98	121	17	0	0	0	0	0	32	34	0	14	2646	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0	0	24	0	62	25	0	0	14	0	34	239	0	58	0	29	0	0	0	0	0	0	0	39	299	0	75	0	30	0	0	53	72	0	18	146	46	19
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__MGYG000003791	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__MGYG000003792	0	0	0	0	0	0	0	0	0	0	0	0	16	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__MGYG000004886	36	718	68	98	138	40	0	12	21	136	166	36	24	18	20	71	287	82	110	16	11	91	23	93	10	88	30	23	0	74	0	13	66	144	24	1357	347	65
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria	47	31	42	0	26	0	0	12	0	10	0	32	22	13	0	21	0	0	0	0	0	15	0	204	0	0	15	0	0	0	0	0	0	14	21	0	21	0
