	SRR6468500	SRR6468503	SRR6468508	SRR6468509	SRR6468512	SRR6468522	SRR6468523	SRR6468524	SRR6468528	SRR6468532	SRR6468538	SRR6468540	SRR6468543	SRR6468544	SRR6468545	SRR6468549	SRR6468550	SRR6468553	SRR6468562	SRR6468564	SRR6468567	SRR6468589	SRR6468597	SRR6468598	SRR6468600	SRR6468604	SRR6468605	SRR6468611	SRR6468613	SRR6468614	SRR6468617	SRR6468621	SRR6468622	SRR6468624	SRR6468626	SRR6468627	SRR6468628	SRR6468630	SRR6468631	SRR6468632	SRR6468633	SRR6468635	SRR6468636	SRR6468639	SRR6468643	SRR6468644	SRR6468647	SRR6468649	SRR6468654	SRR6468656	SRR6468657	SRR6468658	SRR6468660	SRR6468663	SRR6468664	SRR6468668	SRR6468673	SRR6468674	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468684	SRR6468686	SRR6468687	SRR6468688	SRR6468689	SRR6468690	SRR6468693	SRR6468697	SRR6468698	SRR6468699	SRR6468704	SRR6468706	SRR6468709	SRR6468715	SRR6468716	SRR6468718
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000000897	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	19	0	0	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0	0	13	0	10	10	29	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	13	36	39	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	13
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	29	74	0	0	40	0	32	16	60	0	20	0	38	223	145	45	0	0	0	76	30	0	19	37	0	0	0	92	46	171	19	33	104	0	38	93	102	0	24	24	68	89	1564	747	0	0	0	76	0	62	77	0	184	0	0	101	44	67	25	32	74	254	52	0	51	0	141	0	0	96	14	0	22	72	61	0	110	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__Methanomassiliicoccus_A_intestinalis	0	0	22401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000003962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp900767505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	2954	0	0	0	641	0	0	0	0	5269	0	254	0	48	11	22	0	10	0	0	1066	0	0	2510	0	0	0	0	0	0	0	0	0	0	974	97	12	0	11	0	0	36	0	0	0	13	0	59	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	351	0	0	0	0	10	0	0	0	0	0	0	32203	0	3652
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	310	1175	169	262	127	189	430	730	122	733	0	654	1798	2475	310	1393	1371	2306	0	421	1400	0	42	270	749	269	350	0	0	0	500	351	226	2442	388	201	689	2567	4979	1082	456	2210	173	0	1178	0	1161	375	2759	223	328	2426	51	4155	556	938	522	181	74	156	207	371	98	111	557	126	173	1917	784	2001	52	117	688	207	369	1779	1384	3287
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	785	969	325	98	68	222	169	165	277	620	116	343	1083	362	754	2334	1137	2226	0	511	539	24	39	286	944	617	151	126	165	791	415	121	443	2644	525	0	92	1557	5721	304	225	2121	394	1777	1192	1418	2870	237	3049	118	280	2340	53	659	270	1343	68	440	166	88	334	477	85	325	388	80	363	2850	1513	1219	57	183	68	114	253	1007	709	12352
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp000220835	416	778	0	0	0	87	120	569	0	316	146	12	406	195	1110	426	1498	517	0	0	611	0	27	107	14	53	11	0	0	513	36	0	0	0	291	0	30	1604	844	235	254	3056	123	653	176	1317	442	30	0	30	565	1620	0	94	83	1778	0	0	35	117	125	570	0	124	56	53	27	126	19	15	0	0	46	0	21	105	122	8774
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp900323545	27	56	0	0	24	96	22	27	0	78	26	24	136	196	100	234	202	95	0	135	534	0	0	78	68	26	18	74	0	117	29	42	44	185	44	0	32	228	581	126	81	328	27	32	196	98	362	68	445	0	28	380	0	1241	53	344	111	22	0	10	15	151	0	10	0	0	19	415	26	194	10	12	0	81	54	118	42	383
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__Arcanobacterium_A_urinimassiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000000642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Flaviflexus|s__Flaviflexus_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_europaea_A	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	641	232	394	224	233	0	275	376	247	1562	0	859	729	1889	0	0	627	713	0	0	422	0	0	497	0	97	0	707	0	632	94	0	0	0	156	0	589	150	1408	944	0	802	0	0	1985	3654	0	2775	0	1984	0	3761	0	0	0	5685	0	105	1398	1039	1817	0	0	727	0	102	55	0	1470	80	151	115	348	123	0	1187	0	315
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	209	164	131	23	96	0	32	130	113	61	64	184	140	184	35	201	36	334	0	90	20	0	79	354	34	32	35	57	26	314	60	34	63	291	41	11	11	6081	215	195	90	138	36	0	296	38	101	63	358	26	14	114	39	576	216	674	31	271	40	31	43	265	38	0	60	0	174	575	42	138	84	0	21	117	107	675	119	283
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	177	819	12	20	0	0	752	14	0	1025	0	29	832	642	13	135	11	25	0	211	12	0	36	92	14	109	14	0	0	0	182	0	0	364	734	10	23	22	44	0	79	1050	18	0	282	0	74	0	365	116	17	54	0	476	148	16	29	151	88	19	35	0	23	0	766	0	47	540	87	54	47	11	0	14	11	453	56	25
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	38	0	0	0	0	0	0	0	0	18	0	30	18	36	0	0	0	0	0	0	12	0	0	18	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	11	0	17	0	0	36	0	0	0	0	28	0	56	0	0	0	21	0	0	30	0	27	0	0	10	0	0	0	0	34	25	0	0	0	0	0	31	0	165
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_culturomici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_polynesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_radingae_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	43	867	28	421	212	59	386	1105	195	169	260	321	685	1446	17	457	1599	70	0	130	2645	0	188	403	303	157	390	27	95	848	115	406	1070	466	333	0	114	1755	2187	0	281	2554	144	11	530	10	763	113	7055	236	222	2199	0	1285	1063	13	257	58	198	136	182	0	185	0	641	221	130	5266	1002	1613	128	97	486	25	592	213	531	140
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	2770	4395	890	0	784	699	1672	2065	2384	2693	0	3558	4133	0	982	2341	4036	5443	0	2555	964	0	580	1978	5221	1088	1271	858	0	0	1812	936	476	650	1597	476	0	19971	6261	629	490	11537	1749	0	3299	1431	1923	768	3251	2318	0	6510	785	8076	1313	11447	0	688	2823	1978	2670	1413	789	1559	2310	954	838	6777	3162	1534	569	705	0	1819	638	1021	3628	30938
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	66	325	0	0	16	526	50	58	292	40	0	103	386	60	114	58	543	1087	0	43	22	0	23	47	69	11	21	0	0	80	62	72	12	67	82	0	0	582	116	0	18	1004	89	0	73	47	228	11	124	15	0	75	0	252	41	219	0	30	39	14	0	27	0	99	698	0	39	142	598	86	0	25	0	347	15	134	705	9034
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	61	137	0	24	22	0	54	71	35	47	31	28	76	42	39	208	88	31	0	165	260	0	0	40	29	22	49	18	10	0	16	78	0	75	105	0	43	349	203	27	58	240	13	0	118	0	102	0	153	34	44	69	33	309	90	91	30	118	51	39	15	28	29	15	50	36	27	532	78	196	28	24	87	26	16	154	75	174
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	54	509	72	33	102	0	66	103	70	700	0	429	1123	613	15	114	144	407	0	250	132	10	12	137	141	157	57	171	0	178	123	125	41	155	114	12	146	677	227	189	42	873	27	0	451	96	337	35	255	12	36	376	0	301	254	791	61	39	232	59	535	38	11	132	15	376	402	161	105	379	30	131	43	98	16	269	156	800
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001838165	84	111	21	0	17	0	24	72	292	29	0	108	108	70	13	115	301	104	0	77	21	0	56	35	136	157	22	13	0	0	98	14	22	64	95	0	76	1184	106	10	34	244	199	60	145	12	49	11	113	12	0	611	14	268	94	194	26	33	303	52	46	41	36	122	39	65	20	135	17	100	10	123	11	20	19	86	123	474
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900541895	224	681	90	0	0	117	559	371	212	230	0	306	1135	0	0	625	383	2438	0	277	124	0	199	394	226	173	0	0	0	0	193	0	0	0	183	74	0	2384	375	0	0	2121	181	0	172	104	282	0	1163	100	0	326	95	962	503	1095	0	107	211	0	83	311	76	107	0	126	0	572	408	243	0	109	0	778	0	0	487	4048
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900554605	433	847	0	0	0	0	0	647	0	221	0	0	523	2989	0	815	314	0	0	420	946	0	0	0	0	0	0	315	0	0	166	974	1062	3628	259	0	0	13559	4237	0	1182	1875	0	0	585	228	420	0	3868	0	0	0	0	3605	2715	588	0	625	180	0	0	0	184	0	0	0	0	1692	0	1153	0	0	723	420	689	2228	0	14822
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900556405	21	274	0	0	14	58	36	0	141	17	0	67	307	35	360	29	224	982	0	12	0	0	0	26	57	0	0	0	0	26	60	48	0	35	59	0	0	100	42	0	0	789	28	0	26	216	90	0	31	0	0	18	0	56	20	40	0	13	41	0	0	25	0	63	88	0	20	44	195	74	0	25	0	283	0	101	149	37268
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373435	25	23	0	0	0	0	19	26	0	18	0	33	33	44	13	44	19	51	0	42	0	0	12	11	12	16	15	0	0	0	0	19	11	28	0	0	0	272	62	0	16	136	16	0	41	14	43	0	41	10	0	21	13	95	81	51	16	10	13	0	11	13	0	0	17	11	0	62	0	21	0	0	0	12	0	36	64	267
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373545	197	383	27	44	436	0	529	653	72	252	23	1307	238	833	937	274	177	129	0	220	104	0	146	286	259	34	1080	153	103	37	46	871	280	362	169	0	379	3535	12232	0	1045	784	34	0	161	95	122	121	855	446	80	540	0	17001	2155	60	292	1192	27	343	39	21	221	81	83	12	11	572	255	623	92	19	263	46	1065	915	80	146
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_turicensis	0	0	0	0	0	0	0	2536	0	14	0	0	24	39	0	0	23	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	28	92	0	0	0	0	0	0	0	0	55	2000	32	9414	12	1439	0	0	0	0	0	0	0	36	0	10	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	317	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__MGYG000003810	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	76	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	127	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	62	0	158	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	495	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense_A	0	0	0	0	0	16	25	137	0	977	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	153	0	38	0	0	0	0	0	0	0	0	0	0	24	0	0	26	0	0	0	181	0	40	0	43	0	0	0	0	0	0	0	0	14	0	0	28	0	14	25	0	82	0	0	0	0	0	0	10	0	2058	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense_B	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	13	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
