	ERR9578157	ERR9578158	ERR9578159	ERR9578160	ERR9578164	ERR9578165	ERR9578166	ERR9578167	ERR9578168	ERR9578169	ERR9578170	ERR9578174	ERR9578175	ERR9578176	ERR9578177	ERR9578187	ERR9578188	ERR9578191	ERR9578192	ERR9578194	ERR9578195	ERR9578196	ERR9578197	ERR9578198	ERR9578200	ERR9578201	ERR9578203	ERR9578204	ERR9578205	ERR9578206	ERR9578207	ERR9578209	ERR9578211	ERR9578212	ERR9578213	ERR9578218	ERR9578219	ERR9578220	ERR9578221	ERR9578224	ERR9578225	ERR9578226	ERR9578227	ERR9578228	ERR9578231	ERR9578232	ERR9578234	ERR9578235	ERR9578236	ERR9578238	ERR9578242	ERR9578243	ERR9578244	ERR9578248	ERR9578250	ERR9578251	ERR9578253	ERR9578254	ERR9578257	ERR9578267	ERR9578268	ERR9578270	ERR9578285	ERR9578295	ERR9578301	ERR9578302	ERR9578303	ERR9578305
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	53	14	0	0	0	0	0	0	74	0	29	0	265	0	0	0	20	0	0	1801	63	0	0	0	0	0	30	0	1123	0	0	0	0	0	0	0	44	0	105	0	0	0	0	65	1067	0	0	0	30	0	38	0	35	0	0	13	0	0	0	0	159	0	0	0	162	0	170	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__Methanomassiliicoccus_A_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__ISO4-G1|s__MGYG000003531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14020	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__MX-02|s__MX-02_sp006954405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41199	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__Methanomethylophilus|s__Methanomethylophilus_alvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	27	12976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	11265	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000003962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp900767505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0	0	0	0	0	58	0	348	0	0	0	671	28	0	0	0	368	0	0	14	0	26	2949	0	0	198	0	0	448	0	1456	541	0	0	0	0	0	14	385	0	0	0	861	215	0	1714	0	0	0	13103	115	243	624	1105	0	0	44	0	0	0	0	0	0	29	217	0	47	18
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	99	79	94	345	198	213	259	0	666	0	42	283	111	514	554	268	1049	54	1487	452	29	210	233	155	88	146	55	82	462	1061	508	390	159	483	105	59	1902	79	337	191	194	108	352	0	144	311	190	105	658	886	1277	0	429	38	66	836	274	0	77	0	0	220	66	41	0	35	312	648
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	87	25	80	152	0	60	44	0	286	0	17	249	0	1509	198	47	106	38	0	816	16	55	19	180	15	34	10	171	28	112	41	21	212	71	80	11	1031	24	102	42	35	17	138	0	143	150	27	61	857	79	43	18	51	46	19	21	49	49	43	14	27	34	17	19	68	62	651	173
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp000220835	266	0	53	56	0	114	10	0	75	0	0	21	0	46	70	0	174	87	0	19	14	48	0	386	0	0	21	121	0	40	0	0	250	0	0	0	43	0	0	62	0	0	21	0	243	0	41	50	261	50	112	42	29	80	28	0	0	0	36	0	10	141	122	0	10	45	63	24
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp900323545	0	0	0	34	0	16	0	0	0	0	0	13	0	37	21	0	27	0	0	13	0	28	0	12	0	17	0	15	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	56	27	35	0	0	0	0	0	0	0	13	0	0	0	11	13	11	0	17	24
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000000642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	572	0	0	0	0	57	160	0	0	0	0	210	248	0	191	0	705	0	0	0	0	0	1326	0	0	0	0	0	375	0	499	290	39	437	0	0	0	0	125	0	52	0	261	0	130	1423	0	142	0	2713	0	206	300	663	0	0	0	0	0	0	0	0	0	0	131	0	0	39
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	0	0	0	0	11	11	25	0	243	12	0	54	15	32	0	0	75	21	66	30	0	0	0	31	0	10	13	170	13	27	27	0	0	11	16	117	46	21	0	0	147	221	20	0	28	75	17	151	183	73	46	0	0	39	22	10	0	0	111	11	13	11	27	38	0	0	0	36
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	0	0	0	13	0	0	32	0	482	0	19	0	14	0	141	0	0	31	91	0	0	13	0	17	0	0	112	0	283	438	616	0	12	0	0	144	1182	24	0	0	0	0	0	31	0	27	191	0	64	111	12	0	0	0	0	14	1062	0	0	0	18	324	11	0	0	0	28	42
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	14	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	11	11	0	0	0	0	13	21	0	0	0	0	0	0	0	10	0	0	23	0	0	46	50	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_polynesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	0	385	248	59	622	174	141	0	1072	27	69	83	108	57	221	27	430	189	4472	0	0	103	153	184	217	94	21	231	279	312	136	93	0	769	19	299	68	448	0	532	391	569	0	0	12	26	445	240	628	157	4768	0	0	24	224	334	54	75	58	12	218	1437	106	32	99	47	91	1844
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	496	773	543	214	391	0	656	666	1502	0	617	1336	724	0	0	457	0	896	3119	1054	365	0	1212	2562	537	246	245	1367	0	426	0	276	734	500	1190	665	3530	512	1070	584	1633	475	0	0	0	1876	541	951	2501	1849	4422	0	0	922	1017	346	705	830	489	478	448	1147	461	495	0	300	364	2506
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	0	0	64	0	11	40	0	86	18	0	21	36	0	0	0	0	10	0	31	14	0	0	0	92	0	0	35	15	0	12	0	0	40	0	173	0	30	0	0	31	970	0	0	0	0	12	11	0	89	16	298	0	201	13	0	10	0	0	0	0	0	67	0	0	27	35	0	18
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	0	24	25	23	12	12	29	0	65	27	25	19	48	24	17	0	38	15	77	48	0	34	27	53	34	34	17	89	35	133	46	33	0	121	0	118	124	74	21	45	264	112	18	28	53	158	25	69	352	197	108	12	11	0	40	191	101	34	26	37	31	98	39	15	25	19	17	72
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	96	18	0	0	0	0	21	78	386	0	14	92	48	30	72	10	238	76	13	351	0	0	235	10	200	0	0	0	284	72	136	114	14	17	0	0	62	0	36	0	22	10	31	0	44	297	121	99	143	744	82	37	60	127	250	15	69	63	20	17	0	83	0	0	17	0	94	372
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001838165	12	10	0	0	0	0	0	0	18	0	0	0	0	0	11	22	0	11	57	44	0	0	0	44	16	0	0	11	0	0	0	0	102	0	190	0	266	0	139	0	49	12	0	0	0	0	0	11	75	0	102	0	0	19	0	0	0	0	13	0	0	35	0	0	0	19	98	16
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900541895	0	0	111	0	91	0	0	0	225	0	0	0	74	0	0	40	0	0	519	0	32	0	0	246	0	0	0	77	0	154	0	121	156	0	0	0	331	0	54	136	201	0	0	0	0	0	135	57	237	394	1266	0	0	26	143	83	0	0	0	0	65	216	70	0	0	0	60	304
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900554605	0	0	0	357	0	0	0	0	441	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	198	0	91	0	462	823	0	0	582	0	0	450	141	0	137	414	528	0	0	0	1078	0	0	1729	552	435	0	0	0	173	453	502	0	0	0	0	263	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900556405	0	0	29	0	0	0	0	0	0	0	33	48	0	0	0	0	0	0	12	0	0	0	0	37	0	0	0	0	0	0	0	0	41	0	50	0	33	0	19	12	43	0	0	0	0	0	0	0	17	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	10
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	30	0	0	0	10	0	0	0	0	0	0	0	31	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373545	53	10	10	548	16	14	17	0	991	201	103	222	76	523	298	60	1080	16	145	0	0	458	81	22	156	84	0	595	56	66	177	71	0	1333	0	275	4056	20	0	13	32	139	0	0	0	4524	21	53	68	52	154	0	0	0	12	680	464	77	27	149	14	63	0	169	0	0	0	902
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_turicensis	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	15
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense_A	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	16	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_timonense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	137	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	18	0	80	0	73	21	0	0	716	0	0	19	42	57	18	15	93	76	0	0	0	0	132	663	0	0	11	0	78	47	0	18	62	44	72	18	0	0	102	69	4925	24	22	12	645	0	18	10	107	815	132	0	0	0	0	0	0	34	21	85	479	96	0	10	0	0	28	27
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	18	134780	22	2675	6318	66	150537	282524	63	23860	0	44013	161092	351	36999	170123	91271	70	0	0	19	75625	99312	20386	4640	25803	42	26799	33327	20735	51630	166935	56	30518	106035	100232	11	253	15179	265	5487	78	4884	14780	2714	28	205	0	23753	91	62	145170	110	43653	17015	10	26735	46656	12598	19091	0	887	0	3607	39527	42041	23	34
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	63	340	0	0	24	0	237	774	0	32	0	166	985	0	73	337	247	0	0	0	0	344	668	32	16	149	0	56	67	155	247	1299	0	159	123	241	0	0	92	0	61	95	12	45	11	0	21	18	77	285	0	693	28	361	84	0	35	166	27	116	19	0	0	18	265	77	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	464	0	0	0	0	2125	0	259	0	0	714	16	0	0	0	0	0	0	511	72	325	13	0	0	0	0	161	0	256	0	59	0	0	0	0	0	0	0	112	0	53	14	130	0	0	25328	0	933	0	12	0	0	2727	0	0	52	0	0	0	0	0	0	0	0	0	0	156	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	106	128	0	0	0	122	163	883	0	0	0	120	593	0	189	19	78084	16	0	0	0	100	1786	98	5513	42	0	0	47	0	466	191	0	69	44	24	4999	222	23	18	39183	86	360	56	68	31	16	13	27894	59844	0	176	273	914	114	0	0	38	49	73	24	27	0	65	40	11	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	4489	607	41	0	67	332	616	2441	0	0	0	2467	2130	0	1135	552	6457	139	0	20	0	452	8303	119	258	761	0	0	2060	14	3771	1578	0	3517	395	27	69	49	1364	81	267	797	1802	532	532	13911	30	1390	863	34840	488	861	2246	4191	545	49	237	1639	631	938	176	52	0	106	684	0	158	136
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	246	2152	0	16	52	379	1874	5666	45	103	0	622	1462	10	493	2063	12438	10	0	0	0	428	71085	300	98	2064	0	105	11409	395	697	1110	0	586	1604	1502	0	620	44	0	252	2159	201	165	153	723	5474	113	1045	900	111	33478	127	1448	84	0	149	272	311	316	178	0	0	74	1019	324	16	17
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	65	103	245	0	0	123	48	7400	3999	0	12	231	0	68	1021	482	4518	0	0	0	276	0	29	187	72	204	43	0	76	1516	220	1472	234	68	164	30	82	0	0	60	123984	235	1522	296	3566	0	34	85	76740	192	70	159	152	314	162	0	288	203	125	22	77	185	0	12	242	42	74	624
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	68	0	0	0
