	ERR1912946	ERR1912949	ERR1912953	ERR1912957	ERR1912958	ERR1912961	ERR1912964	ERR1912967	ERR1912971	ERR1912972	ERR1912976	ERR1912979	ERR1912983	ERR1912986	ERR1912989	ERR1912990	ERR1912991	ERR1912994	ERR1912997	ERR1912998	ERR1913002	ERR1913006	ERR1913007	ERR1913010	ERR1913014	ERR1913017	ERR1913021	ERR1913025	ERR1913029	ERR1913032	ERR1913036	ERR1913037	ERR1913040	ERR1913044	ERR1913047	ERR1913050	ERR1913054	ERR1913057	ERR1913060	ERR1913063	ERR1913064	ERR1913069	ERR1913073	ERR1913076	ERR1913080	ERR1913084	ERR1913088	ERR1913092	ERR1913096	ERR1913100	ERR1913104	ERR1913108	ERR1913111	ERR1913115	ERR1913116	ERR1913119	ERR1913122	ERR1913126	ERR1913127
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus_A;s__Methanomassiliicoccus_A_intestinalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus_luminyensis"	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__ISO4-G1;s__MGYG000003531"	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus_alvus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__MGYG000003962"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__MGYG000004372"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71_sp006954425"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71_sp006954465"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71_sp900767505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_massiliense"	0	0	201	0	0	138	206	115	0	37	0	46	14	0	0	89	0	0	0	0	24	0	0	0	0	0	10	182	0	0	0	376	0	0	142	0	0	0	0	0	345	0	343	237	372	277	0	0	28	0	0	0	0	0	55	0	394	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii"	0	109	0	279	513	217	712	0	76	0	0	66	64	123	152	43	143	0	154	0	0	2101	32	0	0	56	88	0	640	0	0	361	0	73	231	88	97	280	0	333	281	110	67	38	0	0	83	73	40	68	0	65	0	165	62	19	98	155	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris"	177	30	0	121	202	19	83	39	135	0	10	0	22	187	109	17	0	1393	40	0	86	62	36	30	32	0	15	2951	154	0	147	262	0	19	77	131	134	52	0	69	248	0	73	17	15	26	32	21	16	56	0	38	151	20	28	0	21	114	77
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp000220835"	370	51	0	77	118	0	41	108	0	28	10	0	27	0	182	10	0	180	0	0	48	345	34	12	0	23	12	383	40	0	206	570	0	0	53	52	56	53	0	39	294	0	77	0	0	0	15	15	0	0	0	55	0	0	0	0	0	56	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp900323545"	0	0	0	0	82	12	24	0	0	0	0	0	10	0	13	0	0	99	0	13	19	10	0	0	0	0	0	95	15	0	0	0	0	11	13	0	0	38	0	12	47	0	0	0	0	14	0	0	0	0	11	0	0	55	0	0	0	26	60
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium_A;s__MGYG000000642"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium_A;s__MGYG000004080"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__MGYG000003800"	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	70	0	0	0	0	434	0	0	312	305	45	0	0	0	372	0	0	0	0	0	0	67	186	0	0	110	76	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__MGYG000001284"	0	20	19	86	321	37	15	15	30	27	99	26	22	73	15	0	0	23	11	52	111	78	12	19	15	19	26	0	88	0	0	89	0	34	40	0	0	46	10	29	16	0	26	176	0	64	0	17	15	35	47	12	15	973	38	0	21	86	15
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_bouchesdurhonensis"	0	25	0	10	35	63	184	0	39	0	10	24	74	0	0	0	0	0	350	21	13	3533	0	0	0	18	84	0	123	0	0	110	0	90	1104	0	0	0	0	821	0	0	0	0	0	24	0	18	15	272	13	13	0	28	404	0	10	1314	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_cardiffensis"	0	0	0	16	0	18	0	0	0	0	0	0	0	0	0	93	0	0	53	0	20	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	17	21	0	0	0	0	83	0	21	0	0	0	0	0	0	0	0	14	0	32
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp000278725"	0	0	114	33	480	180	182	190	70	0	40	82	39	94	887	395	95	0	102	36	60	14548	38	27	0	34	136	0	143	0	48	175	95	364	559	0	0	32	22	160	64	110	61	0	0	0	71	356	90	49	11	53	152	63	377	113	284	500	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp000308055"	518	0	0	0	2506	0	721	0	1620	0	0	725	424	1509	1078	1165	458	0	600	0	646	11283	552	0	272	0	0	2591	532	0	307	2240	0	190	0	0	1453	0	270	1320	884	0	859	576	0	0	400	119	285	617	234	624	0	5188	593	244	715	1677	404
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp000411415"	10	0	0	43	174	0	0	36	71	14	10	24	0	165	262	667	12	0	10	0	11	1387	0	19	0	0	0	149	19	0	48	60	0	0	15	0	289	12	15	10	19	44	0	33	13	26	14	0	0	0	0	43	33	140	0	0	79	60	13
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp000758755"	18	0	0	0	234	63	36	0	154	25	38	31	51	156	10	413	34	0	97	10	40	730	130	0	0	0	40	35	78	0	0	83	24	100	36	0	62	47	0	53	25	19	22	116	0	11	48	0	30	32	28	22	0	373	69	31	94	212	32
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp001064145"	0	0	42	37	185	36	68	14	56	0	50	11	62	145	14	10	0	23	144	14	35	126	26	0	0	0	22	0	42	0	0	104	16	21	54	0	74	61	0	168	85	22	18	22	11	32	31	10	0	131	0	24	41	76	13	0	22	235	30
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp001838165"	195	0	14	70	111	0	92	17	26	0	0	0	14	53	0	0	101	12	11	0	15	129	0	0	14	0	0	0	13	0	52	29	0	0	176	39	0	55	0	12	83	0	21	14	0	11	0	0	0	19	0	0	10	404	0	0	0	34	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp900541895"	90	0	0	0	603	0	172	0	476	0	0	85	0	433	0	143	45	0	113	0	0	1215	48	0	0	0	0	445	0	0	86	217	0	68	0	0	229	0	34	260	0	0	0	129	0	0	50	0	0	0	0	0	0	988	0	54	144	532	100
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp900554605"	0	0	0	0	4365	0	0	0	359	0	0	0	285	1694	0	584	0	0	393	0	0	1453	159	0	0	0	0	103	610	0	0	488	0	399	0	0	0	0	0	0	0	0	0	244	0	0	0	184	0	0	0	0	471	5884	0	88	224	698	281
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp900556405"	10	0	0	25	112	0	0	20	60	20	0	21	0	123	53	39	11	0	10	0	0	229	0	11	0	0	0	29	0	0	30	95	0	0	10	20	197	11	27	10	0	43	0	38	0	14	0	0	0	0	0	34	24	41	0	0	42	43	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp902373435"	0	0	0	12	57	0	0	0	20	0	0	0	0	18	0	0	0	0	0	0	0	58	0	0	0	0	0	19	0	0	0	13	0	0	22	0	0	18	0	0	10	0	0	0	0	14	0	0	0	0	0	0	0	88	0	0	0	25	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp902373545"	0	85	17	95	3673	73	35	13	216	17	24	345	481	352	27	215	0	0	241	23	13	585	352	0	15	0	249	0	227	0	0	115	53	26	323	0	0	96	0	90	297	14	0	60	100	72	0	107	14	148	77	0	15	27	43	165	20	200	352
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_turicensis"	0	0	0	13	0	0	10	35	0	0	0	0	24	0	0	0	69	89	0	0	0	0	0	0	0	0	0	0	2717	0	0	0	0	0	0	0	0	0	42	0	424	0	0	0	0	0	34	0	0	0	0	0	0	444	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__MGYG000000336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__MGYG000003810"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum_cambriense"	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum_cambriense_A"	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	1554	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum_cambriense_B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	11	0	0	22	0	0	0	13	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum_massiliense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum_timonense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	235	0	0	0	0	0	0	0	0	0	0	0	0	8767	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia_omnicolens"	0	0	24	0	12	10	40	21	150	63	0	157	0	0	11	82	0	10	16	29	12	0	0	0	0	0	0	0	13	0	14	0	0	0	12	49	32	44	17	112	154	52	14	11	0	14	142	0	24	0	0	0	13	9579	0	0	45	686	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis"	5094	0	16036	143824	79157	14775	42435	2671	901	0	0	0	1949	2051	43480	20674	82626	81090	24773	11437	16545	0	62454	41	10	29	2674	78354	6944	887	10712	32165	2919	1005	33	29	16	57020	5077	204464	100547	0	92612	352	230661	67244	12406	3537	1722	6903	19	50	4612	702	15	7184	77612	3472	1319
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_angulatum"	31	0	57	191	156	62	75	13270	10	0	0	0	0	0	166	76	233	320	215	38	4954	0	527	0	0	148	12	465	18	0	14	168	0	0	0	0	59	180	61	271	365	0	315	16	156	401	3337	10	0	17	0	0	52	0	0	30	309	13	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_animalis"	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	151	0	0	0	58	0	0	17	648	0	0	0	48	0	0	0	0	0	0	3423	13	0	126	15830	0	0	0	0	236	0	89	0	0	0	1717	0	1694	0	0	0	408	15
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum"	45	6046	38	27359	222	120	2908	368	547	1294	0	0	185	0	172	83	8214	92	94	115	31	0	120	0	0	16	0	22408	19	0	0	162	0	18	0	33	667	4759	0	42912	16645	0	5371	195	9586	134	4371	0	0	0	0	0	73	121	20	43	339	0	47
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve"	0	44	380	556	171	1898	338	191	17	279	73	111	37	0	352	262	187	321	504	0	121	0	2554	147	0	0	27	445	19	0	152	388	233	98	192	139	3649	961	72	5917	1332	37	1936	603	625	853	191	40	71	15	0	0	432	14	122	276	960	41	998
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_catenulatum"	83	0	119	732	872	217	328	1304	12	38	0	0	0	39	248	533	910	460	131	196	283	0	1149	17	0	1715	22	1410	154	24	82	106	39	59	0	354	305	233	86	48502	459	0	5253	50	2874	1008	349	61	15	70	0	39	20	155	0	87	1043	73	41
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_dentium"	1598	11	37	10	0	22	79	75	0	1712	0	0	24	2056	576	48094	42	2238	0	0	11	130	49	0	0	0	0	1164	0	27	144	16	0	181	0	37	74	73	0	38	249	12	357	253	26	605	120	0	0	0	0	3354	104	0	0	18	95	2155	15
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_gallinarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	804	0	0	1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_infantis"	0	0	5939	10824	2168	18407	5925	3348	180	3175	1006	1389	477	25	5261	5671	1120	7504	6789	0	1196	0	23501	2033	0	18	351	4313	368	27	2316	5587	2005	1519	4618	1518	62229	13550	992	31269	16321	607	15357	10039	8120	13368	2483	249	1020	169	0	121	6187	147	2134	4044	13417	713	7828
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_italicum"	0	16	20	141	14	135	49	150	0	30	10	0	0	21	96	49	0	165	29	64	0	10	110	14	0	0	0	27	10	0	29	100	0	0	126	0	244	74	0	193	97	0	58	61	24	63	12	18	0	13	0	0	25	0	13	17	100	0	66
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudocatenulatum"	26	23	80	249	294	101	832	136	0	21	0	0	29	30	212	115	423	140	33	83	108	0	15361	0	0	38703	68	367	57	13	14	11	40	26	0	7560	225	115	25	13586	191	0	420	42	1339	279	50	391	16	13	0	0	44	33	0	13	1905	14	46
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pullorum"	0	0	23	43	0	52	26	13	0	0	0	0	0	0	0	15	23	46	55	0	0	0	54	11	0	0	0	30	0	0	0	30	12	0	17	0	205	39	13	1096	48	0	72	26	264	17	14	0	0	0	0	0	22	0	0	18	52	0	22
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_ruminantium"	226	0	1325	8837	3891	709	3179	301	62	0	0	0	158	94	3765	1085	3593	3180	1873	611	832	0	4192	0	0	661	200	4456	361	62	484	1843	240	55	0	0	0	2674	272	6136	8216	0	5258	18	12601	4030	489	322	95	409	0	0	221	25	0	438	3674	294	83
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_scardovii"	0	0	53	152	64	113	50	45	11	33	0	10	0	0	29	50	16	129	28	0	27	0	174	33	0	0	0	14198	0	0	32	92	50	12	53	11	680	131	0	706	248	0	145	200	103	152	37	0	0	0	0	0	92	0	34	22	172	0	84
"k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_sp002742445"	60	0	160	439	1172	212	511	88	0	14	0	0	24	14	477	384	1141	1255	290	15	163	0	913	0	0	752	0	941	30	0	25	366	22	207	0	214	68	230	50	3817	655	0	728	0	2709	497	172	52	21	38	0	0	17	18	0	90	913	60	49
